"Entidad federativa  
   Diversas instituciones y    
   sectores",,Percepción sobre la frecuencia de corrupción en diversas instituciones y sectores 2,,,,,,,
,,Muy frecuente,,Frecuente,,Poco frecuente,, Nunca,
grupo,entidad,MuyFrecuente_tot,Muy_frecuente,Frecuente_tot,Frecuente,Pocofrecuente_tot,Poco_frecuente,Nunca_tot,Nunca
Policías,Guerrero,415453,55.86290727,252779,33.98933173,56508,7.598214874,5779,0.777059598
Partidos políticos,Guerrero,434158,58.37803096,232557,31.27022822,61328,8.2463248,6338,0.852224214
Gobierno Federal,Guerrero,399496,53.71728692,232977,31.32670253,71111,9.561772809,12292,1.652814774
Gobiernos Estatales,Guerrero,361377,48.59170554,258510,34.75993713,95781,12.87896614,11265,1.514721642
Diputados y Senadores,Guerrero,376264,50.59345086,241010,32.40684092,79022,10.62550676,11060,1.487156801
Gobiernos Municipales,Guerrero,338309,45.48992135,273131,36.72591539,100650,13.53366474,14951,2.010350934
Ministerio Público,Guerrero,310070,41.69283086,275123,36.99376497,110708,14.88608997,25225,3.3918201
Institutos electorales,Guerrero,282701,38.01272286,253043,34.02482987,141037,18.96420739,37480,5.039659756
Jueces y magistrados,Guerrero,232891,31.31513875,300903,40.46021183,145881,19.61554442,22133,2.976061616
Empresarios,Guerrero,207205,27.86133137,315395,42.40884441,175560,23.60626112,14633,1.967591814
Universidades públicas,Guerrero,192672,25.90718582,321267,43.19840904,177653,23.88769142,17891,2.405671096
Medios de comunicación,Guerrero,201012,27.02860424,295349,39.71340633,183500,24.67389448,40348,5.425298608
Sindicatos,Guerrero,174933,23.52195304,306784,41.25098662,169487,22.7896695,31927,4.292988715
Hospitales públicos,Guerrero,133106,17.89778419,258576,34.76881166,278562,37.45618199,56467,7.592701906
Comisiones de derechos humanos,Guerrero,128061,17.21942017,229825,30.90287629,271624,36.52328019,73021,9.818596452
Escuelas públicas,Guerrero,92962,12.49991596,253472,34.08251434,309831,41.66069428,65295,8.779738094
Ejército y Marina,Guerrero,85773,11.53326404,183167,24.62911842,333503,44.8436939,96217,12.93759185
