"Entidad federativa  
   Diversos sectores",Población de 18 años y más1,Percepción sobre la frecuencia de corrupción en diversas instituciones y sectores 2,,,,,,,
,,Muy frecuente,,Frecuente,,Poco frecuente,, Nunca,
,,Absolutos,Muy frecuente,Absolutos,Frecuente,Absolutos,Poco frecuente,Absolutos, Nunca
grupo,entidad,MuyFrecuente_tot,Muy_frecuente,Frecuente_tot,Frecuente,Pocofrecuente_tot,Poco_frecuente,Nunca_tot,Nunca
Policías,Ciudad de México,5079536,70.98200274,1657376,23.16035712,363533,5.080050698,20005,0.279552102
Diputados y Senadores,Ciudad de México,4702860,65.7182903,1916356,26.77937253,340025,4.751547284,73682,1.029640488
Ministerio Público,Ciudad de México,5217194,72.90565099,1371336,19.16320225,383550,5.359770489,99549,1.391108832
Gobiernos Estatales,Ciudad de México,4278260,59.78488253,2155300,30.11840265,585818,8.186286086,78921,1.102850858
Gobierno Federal,Ciudad de México,4727210,66.05855991,1691704,23.64006042,478079,6.680729281,122893,1.717320492
Gobiernos Municipales,Ciudad de México,4274761,59.73598711,2108226,29.46058532,595199,8.317377227,96112,1.34307981
Institutos electorales,Ciudad de México,3886609,54.31190776,2098765,29.32837625,864866,12.08573397,247157,3.453799491
Medios de comunicación,Ciudad de México,3806719,53.19551599,2163864,30.23807694,840255,11.74181711,232026,3.242357209
Jueces y magistrados,Ciudad de México,3664019,51.20141027,2188478,30.58203572,882542,12.33274037,195800,2.736131044
Sindicatos,Ciudad de México,3608192,50.42127754,2184901,30.53205032,897539,12.54231012,220316,3.078720363
Empresarios,Ciudad de México,3158760,44.14086463,2604816,36.39998938,1015098,14.1850927,173849,2.429385321
Instituciones religiosas,Ciudad de México,2384860,33.3262997,2002210,27.97910591,1781224,24.89102289,811002,11.33303242
Ejército y Marina,Ciudad de México,2375971,33.20208382,1647269,23.01912078,1996468,27.89886656,712355,9.954528241
Comisiones de derechos humanos,Ciudad de México,1979230,27.65798082,1681136,23.49238201,2494458,34.85783438,724139,10.11919917
Universidades públicas,Ciudad de México,1524469,21.30309988,2078664,29.04748263,2406885,33.6340795,657871,9.193162747
Hospitales públicos,Ciudad de México,1489394,20.81295791,2023498,28.2765868,2513631,35.12576002,938739,13.11804351
Escuelas públicas,Ciudad de México,1079809,15.08937143,1968937,27.51414529,2606589,36.42476548,1176095,16.43488274
Compañeros del trabajo,Ciudad de México,762667,10.65759374,1754242,24.51397341,2947963,41.19516384,1188587,16.60944734
Vecinos,Ciudad de México,703540,9.831346448,1354054,18.92170166,2672596,37.34715466,2203754,30.79550425
Familiares,Ciudad de México,425161,5.941247245,1055256,14.74626507,2730543,38.1569125,2769436,38.70040762
,,,,,,,,,
Durango,637812,,,,,,,,
Policías,Durango,431613,67.67088107,156055,24.46724113,29818,4.675045311,7259,1.138109662
Partidos políticos,Durango,338996,53.14983098,210118,32.94356331,60092,9.421585044,16479,2.583676695
Diputados y Senadores,Durango,271597,42.58261055,221366,34.70709237,65350,10.2459659,33097,5.189146645
Gobierno Federal,Durango,296690,46.51684195,195113,30.59098919,78574,12.31930412,26325,4.127391771
Gobiernos Estatales,Durango,230694,36.16959229,250523,39.27850213,94195,14.76845842,34727,5.444707845
Ministerio Público,Durango,243077,38.11107348,220602,34.58730786,98630,15.46380438,44512,6.978858974
Gobiernos Municipales,Durango,198944,31.19163641,259403,40.67076192,104634,16.4051476,42820,6.713577042
Jueces y magistrados,Durango,185700,29.11516246,235517,36.92577123,120238,18.85163653,52138,8.174509103
Sindicatos,Durango,206430,32.36533649,211094,33.09658645,98332,15.41708215,57383,8.996851737
Institutos electorales,Durango,188049,29.4834528,222530,34.88959129,118137,18.52222912,85447,13.39689438
Empresarios,Durango,147433,23.11543213,252741,39.6262535,134257,21.04961964,58725,9.207258565
Medios de comunicación,Durango,165611,25.96548826,208648,32.71308787,151528,23.75747085,76361,11.97233668
Universidades públicas,Durango,112870,17.69643719,230874,36.19781378,196153,30.75404665,37284,5.845609678
Hospitales públicos,Durango,107510,16.85606417,207786,32.57793833,219252,34.37564674,77959,12.22288072
Ejército y Marina,Durango,105698,16.57196792,145249,22.77301148,206986,32.45250952,136853,21.45663612
Comisiones de derechos humanos,Durango,68521,10.74313434,172635,27.06675321,219536,34.42017397,127291,19.95744828
Escuelas públicas,Durango,63846,10.01015973,171246,26.84897744,271273,42.53181188,113027,17.7210526
Instituciones religiosas,Durango,53490,8.386483791,122298,19.17461572,232691,36.48269396,196041,30.73648661
Compañeros del trabajo,Durango,49830,7.812646987,125885,19.73700714,215098,33.72435765,146329,22.94234038
Familiares,Durango,26898,4.217230156,81285,12.744351,235076,36.8566286,282252,44.25316551
Vecinos,Durango,21467,3.365725323,70518,11.05623601,222301,34.85368729,285128,44.70408208
,,,,,,,,,
Guanajuato,1728037,,,,,,,,
Policías,Guanajuato,1114451,64.49231122,483692,27.99083584,89299,5.167655554,21589,1.249336675
Partidos políticos,Guanajuato,883791,51.1442174,586335,33.93069709,111499,6.452350268,39584,2.290691692
Gobierno Federal,Guanajuato,772807,44.72166973,617374,35.72689705,154289,8.928570395,62833,3.636091125
Gobiernos Municipales,Guanajuato,701392,40.58894572,630194,36.46877931,208265,12.05211462,72491,4.194991195
Diputados y Senadores,Guanajuato,712244,41.21694154,598042,34.60817101,139509,8.073264635,58365,3.377531847
Gobiernos Estatales,Guanajuato,618199,35.77463908,675607,39.09679017,218367,12.63670859,67695,3.917450842
Ministerio Público,Guanajuato,654305,37.86406194,599386,34.68594712,222348,12.8670856,90846,5.2571791
Medios de comunicación,Guanajuato,497282,28.77727734,644037,37.2698617,304294,17.60922943,115159,6.664151288
Jueces y magistrados,Guanajuato,543836,31.47131688,555497,32.14612882,258925,14.98376482,98637,5.708037502
Institutos electorales,Guanajuato,558936,32.34514076,532324,30.80512744,295003,17.07156733,164779,9.535617582
Empresarios,Guanajuato,416352,24.09392854,659111,38.14218098,281774,16.3060166,78603,4.548687326
Sindicatos,Guanajuato,468022,27.08402656,533487,30.87242924,218238,12.62924347,92827,5.371817849
Hospitales públicos,Guanajuato,268780,15.5540651,531507,30.75784836,498275,28.83474139,228210,13.20631445
Escuelas públicas,Guanajuato,219644,12.71060747,468004,27.08298491,517514,29.9480856,294627,17.04980854
Instituciones religiosas,Guanajuato,191915,11.10595433,437240,25.30269896,491260,28.42878943,408544,23.64208637
Universidades públicas,Guanajuato,185185,10.71649508,432789,25.04512346,475732,27.53019756,81838,4.735893965
Compañeros del trabajo,Guanajuato,162010,9.375377958,413583,23.93368892,421315,24.38113304,311621,18.03323656
Comisiones de derechos humanos,Guanajuato,182990,10.58947233,353370,20.44921492,432353,25.01989251,266426,15.41784117
Ejército y Marina,Guanajuato,186451,10.7897574,333195,19.28170519,448825,25.97311284,375014,21.7017344
Vecinos,Guanajuato,116044,6.71536547,265291,15.3521597,472687,27.35398605,633790,36.67687671
Familiares,Guanajuato,99428,5.753811984,187455,10.847858,511952,29.62621749,774977,44.84724575
,,,,,,,,,
Guerrero,714091,,,,,,,,
Policías,Guerrero,424745,59.48051439,226455,31.71234479,37859,5.301705245,4459,0.62443022
Partidos políticos,Guerrero,409696,57.3730799,222907,31.21548934,43548,6.098382419,10258,1.436511593
Gobiernos Estatales,Guerrero,376612,52.74005694,235783,33.01862088,51811,7.255517854,14623,2.047778224
Gobierno Federal,Guerrero,379521,53.14742799,222246,31.12292411,60471,8.468248445,12274,1.718828553
Gobiernos Municipales,Guerrero,357880,50.11686186,237953,33.32250371,76408,10.70003683,10563,1.479223236
Ministerio Público,Guerrero,357629,50.08171227,237259,33.22531722,67364,9.433531581,12757,1.786466991
Diputados y Senadores,Guerrero,320119,44.82888035,247575,34.66995103,68443,9.584632771,19874,2.783118678
Jueces y magistrados,Guerrero,246241,34.4831401,261595,36.63328623,103933,14.55458758,33723,4.722507356
Empresarios,Guerrero,193369,27.07904175,309848,43.39054826,116300,16.28643968,21669,3.034487201
Institutos electorales,Guerrero,259126,36.28753198,239900,33.59515804,116010,16.24582861,41167,5.764951526
Universidades públicas,Guerrero,180704,25.30545827,318264,44.56910954,119424,16.72391894,11275,1.578930416
